baseline,policy,intensity,label,converged,x_bar,ur_U,ur_S,ur_total,skilled_share,training_share,theta_U,theta_S,f_U,f_S,sep_rate_U,sep_rate_S,ee_rate_S,mean_wage_U,mean_wage_S,wage_premium,UU_x25,UU_x50,UU_x75,US_x25,US_x50,US_x75
Pre-FC OO,baseline,0.0,Baseline,true,0.10308364124769726,0.2087393307824168,0.19647679707073637,0.20489754087520723,0.31329495172356975,0.5415634832932984,0.036672626430006426,0.9971846619376444,0.008291129366138357,0.3906953273325,0.10965150287358319,0.0627964604368513,0.004781902114908746,0.8365503354890038,1.2823863199060732,0.427191241124374,10.792198443122029,21.252070229215082,30.81618430236875,17.930772563101172,33.275907034456424,50.373969621314885
Pre-FC OO,bU,0.01,bU +1%,true,0.10308364124769726,0.20873933100435213,0.19647679706920892,0.2048975410211725,0.3132949522096294,0.5415634841335037,0.03667260665731748,0.9971846622044495,0.00829112713098424,0.39069532737251234,0.10965157652816328,0.06279646046014374,0.004781902128347509,0.8365505248717281,1.2823863199839407,0.4271910147997898,10.79219877937976,21.25207056551,30.816184638704275,17.93077305285228,33.275907524125266,50.373970110892735
Pre-FC OO,bU,0.05,bU +5%,true,0.10308364124769726,0.20873933157620508,0.19647679704235307,0.20489754139009522,0.3132949534620427,0.5415634862984329,0.036672535326546546,0.9971846633202629,0.008291119067570813,0.390695327539887,0.10965172516395526,0.06279646051166711,0.004781902159500759,0.8365509634190653,1.2823863202963597,0.427190490810615,10.79220011820582,21.25207190447948,30.816185977830767,17.930772767871748,33.2759072389067,50.37396982541243
Pre-FC OO,bU,0.1,bU +10%,true,0.11524878993247933,0.23327524583228768,0.1772380323246172,0.21609103624045492,0.306657103667022,0.5300892603755686,0.027110241575062647,1.1379303311793683,0.007128684233750855,0.4586197624742574,0.11293411161867774,0.06753516996286003,0.006039549162309907,0.8349112731413865,1.2874979924277798,0.4331306137633032,10.81672339613483,21.30311365191168,30.897609113894394,18.002291059147872,33.42475640374876,50.611414575404545
Pre-FC OO,bU,0.2,bU +20%,true,0.12799985120820134,0.2587741818986026,0.15525917261626937,0.22777640868532445,0.29945196767294785,0.5176344202158853,0.02001929872363615,1.336127377585636,0.006125860663181434,0.559643674581238,0.1558461993648703,0.07315137899956356,0.009116854919401772,0.8313586226447642,1.2941773211761909,0.44256924174774337,10.846343544536783,21.365844455539232,30.99798482412275,18.088669169135038,33.607688950426606,50.904123951460996
Pre-FC OO,bS,0.01,bS +1%,true,0.09152293065926825,0.18587120343205063,0.2171514621225293,0.1958605232756822,0.3193490163389285,0.5520285747451047,0.04927653992259026,0.8712227738687444,0.009610871857286298,0.3311118384405158,0.1079572696775382,0.05917756111365042,0.0048531298260100116,0.846943091868497,1.2820549391386509,0.4145859862864949,10.778336184382493,21.205523586072026,30.73717732158431,17.8903518621603,33.1401749519484,50.14357950311234
Pre-FC OO,bS,0.05,bS +5%,true,0.09152293065926825,0.18588579588883722,0.23419122585977742,0.20131373790872995,0.31938318381958164,0.5520876368517111,0.04827413051310784,0.7981512980411702,0.009512614874429415,0.2965018864537543,0.10983181463920703,0.057736174505416585,0.004005782229875591,0.8806619095181989,1.2955299587284823,0.38600133031810985,10.807647303748013,21.193219245890404,30.69966652312701,17.975837492545786,33.10430516911757,50.03420482076445
Pre-FC OO,bS,0.1,bS +10%,true,0.08058426320987233,0.16484119650723428,0.2632047625089007,0.19679850422230324,0.3248896823700716,0.5616062024058219,0.06223582505357104,0.6853641425238625,0.010800973732375149,0.25287287054218593,0.11024553656087588,0.05733298416378961,0.005375609753349401,0.9157332303531561,1.3069403850653671,0.35571901152663915,10.842855307141239,21.162445412601254,30.627664522157406,18.078498223999436,33.014555361916926,49.824228989016945
Pre-FC OO,bS,0.2,bS +20%,false,0.07028429666844443,0.14572587655120284,0.309768240170291,0.19983434295852942,0.32984446952354507,0.570171076416877,0.07768381053013398,0.556437348787651,0.012067239835851229,0.20027861170715683,0.11065093101189111,0.05626923754916412,0.00528843791571411,0.9706064979875824,1.3392686921266483,0.32195786005990445,10.954644507441746,21.140851338167945,30.545152590801333,18.4044868773402,32.95158321664806,49.583613444467346
Pre-FC OO,bUS,0.01,"bU,bS +1%",true,0.10308364124769726,0.20874181675975517,0.20042279252011064,0.20613546316938702,0.31330039621083206,0.5415728946657777,0.03653774864731932,0.9718415188266757,0.008275868401975271,0.37749109388274416,0.1106597406846391,0.06330381862636689,0.0053469831091498285,0.8458193372217526,1.2861302957743568,0.41908743088972095,10.79822932449041,21.24721016022814,30.80424502950073,17.94836221295768,33.261737448374134,50.339156286618206
Pre-FC OO,bUS,0.05,"bU,bS +5%",true,0.10308364124769726,0.20875383514587445,0.21798805157986115,0.2116471618579151,0.31332671621077457,0.5416183915713955,0.03597670415804176,0.8804534319364459,0.008212083785277933,0.33532536550271425,0.1123030423413676,0.060670554018759586,0.004259327308628314,0.8800431757573388,1.2988544970344502,0.38926702924671996,10.82493196954469,21.230467224709994,30.7594828970736,18.026230353155686,33.212913321415755,50.208624980553004
Pre-FC OO,bUS,0.1,"bU,bS +10%",true,0.10308364124769726,0.2087695040784725,0.23326630857833486,0.2164458479142923,0.3133610277970311,0.5416777027797894,0.03476043313213872,0.8122112344005543,0.008072076589014196,0.3119121186134416,0.1145737169335333,0.06255227119338184,0.004160051400460824,0.9153970985021741,1.3116907302663936,0.3597142592701887,10.871577854247391,21.22649327200217,30.73032894915026,18.162273686651183,33.201343448858125,50.12362737479878
Pre-FC OO,bUS,0.2,"bU,bS +20%",true,0.10308364124769726,0.20879267072299434,0.27000150353261526,0.22797623821957788,0.31341175147466976,0.5417653840251982,0.03304146498952025,0.6771817659466925,0.007869956495538092,0.2569300801407259,0.11572768811515072,0.062259885692156444,0.0031400343525283705,0.971510816707442,1.3423350203564517,0.32331352618387155,10.984305203735733,21.213867301058457,30.662885992371262,18.490980848093283,33.16450608622914,49.926937461221144
